descripcion,nandina
"Máquina automática para tratamiento o procesamiento de datos, portátil, constituida al menos por unidad central, teclado y visualizador integrados; peso menor a 10 kg.",84713000
"Arroz semiblanqueado o blanqueado, incluso pulido o glaseado, en sacos para venta mayorista.",10063000
"Leche evaporada, sin adición de azúcar ni otros edulcorantes, en latas.",04029110
"Cerveza de malta, bebida alcohólica en envases de vidrio para consumo.",22030000
"Polietileno de densidad superior o igual a 0,94, en gránulos (pellets) para transformación industrial.",39012000
"Carne de la especie bovina, fresca o refrigerada, deshuesada, cortes empacados al vacío.",02013000
"Computadora portátil con procesador Intel Core i5, memoria RAM 8 GB, disco sólido SSD 512 GB, pantalla LED de 14 pulgadas.",84713000
"Disco sólido externo portátil (SSD) de 1 TB, interfaz USB 3.2, usado como unidad de almacenamiento de datos.",84717000
"Diodos LED SMD para montaje superficial, paquete de 1000 unidades, uso en placas electrónicas e iluminación.",85414100
"Colchón inflable para camping (colchón neumático), material PVC, con válvula y bomba manual incluida.",63064000
"Patinete/scooter infantil de tres ruedas con manubrio ajustable y freno, juguete con ruedas.",95030010
"Soda cáustica en escamas (hidróxido de sodio) grado industrial, presentación sólida para elaboración de detergentes.",28151100
"Computadora portátil con procesador Intel Core i5, memoria RAM 8 GB, disco sólido SSD 512 GB, pantalla LED de 14 pulgadas.",84713000
